epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.019,1.45492,2.27038,1.67226,0.3483,0.40179,0.32234,0.14208,2.0531,2.73523,2.46527,0.000551326,0.000551326,0.000551326
2,851.13,1.55972,2.08029,1.77111,0.55695,0.33661,0.29316,0.12407,2.13539,3.41171,2.40861,0.00106316,0.00106316,0.00106316
3,1281.36,1.58767,1.95403,1.7963,0.30991,0.36952,0.24887,0.11901,2.03008,2.63081,2.25694,0.00153098,0.00153098,0.00153098
4,1712.03,1.58969,1.89712,1.77461,0.78275,0.1658,0.18205,0.09398,1.92461,3.19888,2.16853,0.00146896,0.00146896,0.00146896
